09:17:38 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
09:17:59   loaded 20/72 episodes
09:18:10   loaded 40/72 episodes
09:18:18   loaded 60/72 episodes
09:18:26 25509 train rows, 2767 val rows, frames at 128 px
09:29:02 step   1925  loss 0.1534  l1 0.0562  kl 0.010  0.33s/step  eta 1.7h
09:29:09 step   1950  loss 0.1460  l1 0.0573  kl 0.009  0.33s/step  eta 1.7h
09:29:15 step   1975  loss 0.1454  l1 0.0551  kl 0.009  0.33s/step  eta 1.6h
09:29:20 step   2000  loss 0.1411  l1 0.0528  kl 0.009  0.33s/step  eta 1.6h
09:29:22   val l1 0.0490 (best 0.0490)  *  -> last.pt
09:29:27 step   2025  loss 0.1476  l1 0.0545  kl 0.009  0.33s/step  eta 1.6h
09:29:32 step   2050  loss 0.1409  l1 0.0560  kl 0.008  0.32s/step  eta 1.6h
09:29:37 step   2075  loss 0.1404  l1 0.0516  kl 0.009  0.32s/step  eta 1.6h
09:29:42 step   2100  loss 0.1363  l1 0.0538  kl 0.008  0.32s/step  eta 1.6h
09:29:47 step   2125  loss 0.1259  l1 0.0528  kl 0.007  0.32s/step  eta 1.6h
09:29:53 step   2150  loss 0.1359  l1 0.0571  kl 0.008  0.32s/step  eta 1.6h
09:30:00 step   2175  loss 0.1290  l1 0.0552  kl 0.007  0.32s/step  eta 1.6h
09:30:05 step   2200  loss 0.1290  l1 0.0550  kl 0.007  0.32s/step  eta 1.6h
09:30:10 step   2225  loss 0.1274  l1 0.0524  kl 0.008  0.32s/step  eta 1.6h
09:30:15 step   2250  loss 0.1241  l1 0.0515  kl 0.007  0.31s/step  eta 1.6h
09:30:17   val l1 0.0459 (best 0.0459)  *  -> last.pt
09:30:22 step   2275  loss 0.1186  l1 0.0536  kl 0.007  0.31s/step  eta 1.5h
09:30:26 step   2300  loss 0.1218  l1 0.0553  kl 0.007  0.31s/step  eta 1.5h
09:30:31 step   2325  loss 0.1141  l1 0.0517  kl 0.006  0.31s/step  eta 1.5h
09:30:36 step   2350  loss 0.1194  l1 0.0511  kl 0.007  0.31s/step  eta 1.5h
09:30:40 step   2375  loss 0.1108  l1 0.0498  kl 0.006  0.31s/step  eta 1.5h
09:30:45 step   2400  loss 0.1111  l1 0.0519  kl 0.006  0.31s/step  eta 1.5h
09:30:49 step   2425  loss 0.1075  l1 0.0508  kl 0.006  0.31s/step  eta 1.5h
09:30:54 step   2450  loss 0.1103  l1 0.0525  kl 0.006  0.31s/step  eta 1.5h
09:30:58 step   2475  loss 0.1118  l1 0.0528  kl 0.006  0.30s/step  eta 1.5h
09:31:03 step   2500  loss 0.1062  l1 0.0486  kl 0.006  0.30s/step  eta 1.5h
09:31:04   val l1 0.0523 (best 0.0459)  -> last.pt
09:31:09 step   2525  loss 0.1131  l1 0.0535  kl 0.006  0.30s/step  eta 1.5h
09:31:15 step   2550  loss 0.1126  l1 0.0528  kl 0.006  0.30s/step  eta 1.5h
09:31:22 step   2575  loss 0.1006  l1 0.0468  kl 0.005  0.30s/step  eta 1.5h
09:32:04 step   2600  loss 0.1064  l1 0.0488  kl 0.006  0.31s/step  eta 1.5h
09:32:16 step   2625  loss 0.1083  l1 0.0510  kl 0.006  0.32s/step  eta 1.5h
09:32:25 step   2650  loss 0.1026  l1 0.0490  kl 0.005  0.32s/step  eta 1.5h
09:32:34 step   2675  loss 0.0997  l1 0.0484  kl 0.005  0.32s/step  eta 1.5h
09:32:44 step   2700  loss 0.1000  l1 0.0477  kl 0.005  0.32s/step  eta 1.5h
09:32:55 step   2725  loss 0.0944  l1 0.0452  kl 0.005  0.32s/step  eta 1.5h
09:33:00 step   2750  loss 0.0963  l1 0.0473  kl 0.005  0.32s/step  eta 1.5h
09:33:01   val l1 0.0454 (best 0.0454)  *  -> last.pt
09:33:42 step   2775  loss 0.0975  l1 0.0486  kl 0.005  0.33s/step  eta 1.6h
09:33:57 step   2800  loss 0.0983  l1 0.0473  kl 0.005  0.33s/step  eta 1.6h
09:34:12 step   2825  loss 0.0948  l1 0.0475  kl 0.005  0.33s/step  eta 1.6h
09:44:04 step   2850  loss 0.0924  l1 0.0462  kl 0.005  0.54s/step  eta 2.6h
09:44:33 step   2875  loss 0.0923  l1 0.0468  kl 0.005  0.54s/step  eta 2.6h
09:46:49 step   2900  loss 0.0933  l1 0.0479  kl 0.005  0.59s/step  eta 2.8h
09:47:16 step   2925  loss 0.0948  l1 0.0520  kl 0.004  0.59s/step  eta 2.8h
10:14:34 step   2950  loss 0.0917  l1 0.0475  kl 0.004  1.14s/step  eta 5.4h
10:15:06 step   2975  loss 0.0883  l1 0.0451  kl 0.004  1.14s/step  eta 5.4h
10:15:20 step   3000  loss 0.0853  l1 0.0462  kl 0.004  1.14s/step  eta 5.4h
10:15:26   val l1 0.0429 (best 0.0429)  *  -> last.pt
10:15:40 step   3025  loss 0.0853  l1 0.0457  kl 0.004  1.13s/step  eta 5.4h
10:15:55 step   3050  loss 0.0877  l1 0.0475  kl 0.004  1.13s/step  eta 5.3h
10:16:10 step   3075  loss 0.0865  l1 0.0453  kl 0.004  1.13s/step  eta 5.3h
10:16:25 step   3100  loss 0.0826  l1 0.0453  kl 0.004  1.12s/step  eta 5.3h
10:16:35 step   3125  loss 0.0857  l1 0.0467  kl 0.004  1.12s/step  eta 5.2h
10:16:43 step   3150  loss 0.0795  l1 0.0436  kl 0.004  1.11s/step  eta 5.2h
10:16:52 step   3175  loss 0.0806  l1 0.0424  kl 0.004  1.10s/step  eta 5.2h
10:17:01 step   3200  loss 0.0843  l1 0.0461  kl 0.004  1.10s/step  eta 5.1h
10:17:09 step   3225  loss 0.0803  l1 0.0437  kl 0.004  1.09s/step  eta 5.1h
10:17:17 step   3250  loss 0.0766  l1 0.0435  kl 0.003  1.09s/step  eta 5.1h
10:17:20   val l1 0.0395 (best 0.0395)  *  -> last.pt
10:17:28 step   3275  loss 0.0811  l1 0.0439  kl 0.004  1.08s/step  eta 5.0h
10:17:37 step   3300  loss 0.0770  l1 0.0436  kl 0.003  1.08s/step  eta 5.0h
10:17:45 step   3325  loss 0.0822  l1 0.0454  kl 0.004  1.07s/step  eta 5.0h
10:17:54 step   3350  loss 0.0765  l1 0.0431  kl 0.003  1.06s/step  eta 4.9h
10:18:02 step   3375  loss 0.0748  l1 0.0430  kl 0.003  1.06s/step  eta 4.9h
10:18:11 step   3400  loss 0.0766  l1 0.0447  kl 0.003  1.05s/step  eta 4.9h
10:18:19 step   3425  loss 0.0764  l1 0.0450  kl 0.003  1.05s/step  eta 4.8h
10:18:27 step   3450  loss 0.0735  l1 0.0427  kl 0.003  1.04s/step  eta 4.8h
10:18:35 step   3475  loss 0.0761  l1 0.0428  kl 0.003  1.04s/step  eta 4.8h
10:18:43 step   3500  loss 0.0774  l1 0.0464  kl 0.003  1.03s/step  eta 4.7h
10:18:46   val l1 0.0361 (best 0.0361)  *  -> last.pt
10:18:54 step   3525  loss 0.0760  l1 0.0459  kl 0.003  1.03s/step  eta 4.7h
10:19:02 step   3550  loss 0.0737  l1 0.0461  kl 0.003  1.02s/step  eta 4.7h
10:19:10 step   3575  loss 0.0753  l1 0.0454  kl 0.003  1.02s/step  eta 4.6h
10:19:19 step   3600  loss 0.0696  l1 0.0421  kl 0.003  1.01s/step  eta 4.6h
10:19:26 step   3625  loss 0.0705  l1 0.0434  kl 0.003  1.01s/step  eta 4.6h
10:19:33 step   3650  loss 0.0717  l1 0.0424  kl 0.003  1.00s/step  eta 4.6h
10:19:40 step   3675  loss 0.0664  l1 0.0407  kl 0.003  1.00s/step  eta 4.5h
10:19:47 step   3700  loss 0.0691  l1 0.0413  kl 0.003  0.99s/step  eta 4.5h
10:19:54 step   3725  loss 0.0691  l1 0.0417  kl 0.003  0.99s/step  eta 4.5h
10:20:01 step   3750  loss 0.0684  l1 0.0423  kl 0.003  0.99s/step  eta 4.4h
10:20:03   val l1 0.0372 (best 0.0361)  -> last.pt
10:20:13 step   3775  loss 0.0686  l1 0.0421  kl 0.003  0.98s/step  eta 4.4h
10:20:21 step   3800  loss 0.0666  l1 0.0422  kl 0.002  0.98s/step  eta 4.4h
10:20:29 step   3825  loss 0.0649  l1 0.0387  kl 0.003  0.97s/step  eta 4.4h
10:20:36 step   3850  loss 0.0680  l1 0.0426  kl 0.003  0.97s/step  eta 4.3h
10:20:43 step   3875  loss 0.0701  l1 0.0432  kl 0.003  0.96s/step  eta 4.3h
10:20:50 step   3900  loss 0.0648  l1 0.0389  kl 0.003  0.96s/step  eta 4.3h
10:20:57 step   3925  loss 0.0669  l1 0.0392  kl 0.003  0.96s/step  eta 4.3h
10:21:04 step   3950  loss 0.0648  l1 0.0393  kl 0.003  0.95s/step  eta 4.2h
10:21:11 step   3975  loss 0.0641  l1 0.0415  kl 0.002  0.95s/step  eta 4.2h
10:21:17 step   4000  loss 0.0617  l1 0.0395  kl 0.002  0.94s/step  eta 4.2h
10:21:19   val l1 0.0398 (best 0.0361)  -> last.pt
10:21:27 step   4025  loss 0.0631  l1 0.0401  kl 0.002  0.94s/step  eta 4.2h
10:21:34 step   4050  loss 0.0621  l1 0.0386  kl 0.002  0.94s/step  eta 4.1h
10:21:41 step   4075  loss 0.0642  l1 0.0407  kl 0.002  0.93s/step  eta 4.1h
10:21:48 step   4100  loss 0.0618  l1 0.0412  kl 0.002  0.93s/step  eta 4.1h
10:21:55 step   4125  loss 0.0634  l1 0.0417  kl 0.002  0.92s/step  eta 4.1h
10:22:02 step   4150  loss 0.0615  l1 0.0403  kl 0.002  0.92s/step  eta 4.0h
10:22:09 step   4175  loss 0.0606  l1 0.0412  kl 0.002  0.92s/step  eta 4.0h
10:22:16 step   4200  loss 0.0600  l1 0.0402  kl 0.002  0.91s/step  eta 4.0h
10:22:24 step   4225  loss 0.0595  l1 0.0388  kl 0.002  0.91s/step  eta 4.0h
10:22:31 step   4250  loss 0.0547  l1 0.0364  kl 0.002  0.90s/step  eta 4.0h
10:22:34   val l1 0.0332 (best 0.0332)  *  -> last.pt
10:22:40 step   4275  loss 0.0577  l1 0.0376  kl 0.002  0.90s/step  eta 3.9h
10:22:47 step   4300  loss 0.0550  l1 0.0357  kl 0.002  0.90s/step  eta 3.9h
10:22:54 step   4325  loss 0.0573  l1 0.0379  kl 0.002  0.89s/step  eta 3.9h
10:23:01 step   4350  loss 0.0611  l1 0.0424  kl 0.002  0.89s/step  eta 3.9h
10:23:08 step   4375  loss 0.0600  l1 0.0422  kl 0.002  0.89s/step  eta 3.9h
10:23:14 step   4400  loss 0.0610  l1 0.0403  kl 0.002  0.88s/step  eta 3.8h
10:23:21 step   4425  loss 0.0537  l1 0.0357  kl 0.002  0.88s/step  eta 3.8h
10:23:28 step   4450  loss 0.0585  l1 0.0396  kl 0.002  0.88s/step  eta 3.8h
10:23:34 step   4475  loss 0.0576  l1 0.0392  kl 0.002  0.87s/step  eta 3.8h
10:23:41 step   4500  loss 0.0527  l1 0.0357  kl 0.002  0.87s/step  eta 3.7h
10:23:44   val l1 0.0303 (best 0.0303)  *  -> last.pt
10:23:50 step   4525  loss 0.0548  l1 0.0382  kl 0.002  0.87s/step  eta 3.7h
10:23:57 step   4550  loss 0.0551  l1 0.0379  kl 0.002  0.86s/step  eta 3.7h
10:24:04 step   4575  loss 0.0553  l1 0.0372  kl 0.002  0.86s/step  eta 3.7h
10:24:14 step   4600  loss 0.0601  l1 0.0412  kl 0.002  0.86s/step  eta 3.7h
10:24:22 step   4625  loss 0.0583  l1 0.0403  kl 0.002  0.86s/step  eta 3.7h
10:24:29 step   4650  loss 0.0534  l1 0.0373  kl 0.002  0.85s/step  eta 3.6h
