01:08:43 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
01:08:46   loaded 10/72 episodes
01:08:49   loaded 20/72 episodes
01:08:52   loaded 30/72 episodes
01:08:55   loaded 40/72 episodes
01:08:58   loaded 50/72 episodes
01:09:00   loaded 60/72 episodes
01:09:03   loaded 70/72 episodes
01:09:06 25509 train rows, 2767 val rows, frames at 128 px
01:16:36 step   2275  loss 0.1166  l1 0.0478  kl 0.007  0.20s/step  eta 1.0h
01:16:41 step   2300  loss 0.1212  l1 0.0499  kl 0.007  0.20s/step  eta 1.0h
01:16:45 step   2325  loss 0.1137  l1 0.0471  kl 0.007  0.20s/step  eta 1.0h
01:16:49 step   2350  loss 0.1201  l1 0.0481  kl 0.007  0.20s/step  eta 1.0h
01:16:53 step   2375  loss 0.1131  l1 0.0509  kl 0.006  0.20s/step  eta 1.0h
01:16:58 step   2400  loss 0.1099  l1 0.0475  kl 0.006  0.20s/step  eta 1.0h
01:17:02 step   2425  loss 0.1100  l1 0.0502  kl 0.006  0.20s/step  eta 1.0h
01:17:06 step   2450  loss 0.1089  l1 0.0468  kl 0.006  0.20s/step  eta 1.0h
01:17:10 step   2475  loss 0.1050  l1 0.0445  kl 0.006  0.20s/step  eta 1.0h
01:17:15 step   2500  loss 0.1039  l1 0.0454  kl 0.006  0.20s/step  eta 0.9h
01:17:16   val l1 0.0460 (best 0.0432)  -> last.pt
01:17:20 step   2525  loss 0.1046  l1 0.0431  kl 0.006  0.20s/step  eta 0.9h
01:17:24 step   2550  loss 0.1061  l1 0.0441  kl 0.006  0.20s/step  eta 0.9h
01:17:29 step   2575  loss 0.1016  l1 0.0457  kl 0.006  0.20s/step  eta 0.9h
01:17:33 step   2600  loss 0.1094  l1 0.0481  kl 0.006  0.19s/step  eta 0.9h
01:17:37 step   2625  loss 0.1041  l1 0.0448  kl 0.006  0.19s/step  eta 0.9h
01:17:42 step   2650  loss 0.1009  l1 0.0455  kl 0.006  0.19s/step  eta 0.9h
01:17:46 step   2675  loss 0.0975  l1 0.0437  kl 0.005  0.19s/step  eta 0.9h
01:17:50 step   2700  loss 0.0944  l1 0.0413  kl 0.005  0.19s/step  eta 0.9h
01:17:55 step   2725  loss 0.0949  l1 0.0427  kl 0.005  0.19s/step  eta 0.9h
01:17:59 step   2750  loss 0.0949  l1 0.0439  kl 0.005  0.19s/step  eta 0.9h
01:18:00   val l1 0.0443 (best 0.0432)  -> last.pt
01:18:06 step   2775  loss 0.0939  l1 0.0437  kl 0.005  0.19s/step  eta 0.9h
01:18:31 step   2800  loss 0.0960  l1 0.0428  kl 0.005  0.20s/step  eta 1.0h
01:18:54 step   2825  loss 0.0939  l1 0.0434  kl 0.005  0.21s/step  eta 1.0h
01:19:13 step   2850  loss 0.0899  l1 0.0413  kl 0.005  0.21s/step  eta 1.0h
